"date","plot_code","spp_code","USDA_name","num_hits","cover"
"1990-07-09","WCC2","CALLEP","Caltha leptosepala",34,20.8589
"1990-07-09","WCC2","BAREEE",NaN,15,9.2025
"1990-07-09","WCC2","BISVIV","Polygonum viviparum",12,7.362
"1990-07-09","WCC2","KOBMYO","Kobresia myosuroides",1,0.6135
"1990-07-05","DCC3","ANTALP","Antennaria media",1,0.7874
"1990-07-05","DCC3","AREFEN","Arenaria fendleri var. tweedyi",2,1.5748
"1990-07-05","DCC3","ALLGEY","Allium geyeri",1,0.7874
"1990-07-05","DCC3","BISBIS","Polygonum bistortoides",1,0.7874
"1990-07-05","DCC3","CALPUR","Calamagrostis purpurascens",2,1.5748
"1990-07-05","DCC3","CAMROT","Campanula rotundifolia",2,1.5748
"1990-07-05","DCC3","CARRUP","Carex rupestris var. drummondiana",7,5.5118
"1990-07-05","DCC3","CASOCC","Castilleja occidentalis",1,0
"1990-07-05","DCC3","HYMACA","Tetraneuris acaulis var. caespitosa",3,2.3622
"1990-07-05","DCC3","KOBMYO","Kobresia myosuroides",62,48.8189
"1990-07-05","DCC3","MINOBT","Minuartia obtusiloba",1,0.7874
"1990-07-05","DCC3","OREALP","Oreoxis alpina ssp. alpina",4,3.1496
"1990-07-05","DCC3","PHLSIB","Phlox pulvinata",4,3.1496
"1990-07-05","DCC3","BAREEE",NaN,32,25.1969
"1990-07-05","DCC3","SELDEN","Selaginella densa var. scopulorum",3,2.3622
"1990-07-05","DCC3","TRIDAS","Trifolium dasyphyllum",1,0.7874
"1990-07-05","DCC3","UNKNOW","Unknown",1,0.7874
"1990-07-09","WCC3","ACOROS","Geum rossii var. turbinatum",2,1.2658
"1990-07-09","WCC3","ARTSCO","Artemisia scopulorum",10,6.3291
"1990-07-09","WCC3","BISBIS","Polygonum bistortoides",8,5.0633
"1990-07-09","WCC3","CARSCO","Carex scopulorum var. scopulorum",10,6.3291
"1990-07-09","WCC3","CARESP","Carex",57,36.0759
"1990-07-09","WCC3","DESCAE","Deschampsia cespitosa",1,0.6329
"1990-07-09","WCC3","DODPUL","Dodecatheon pulchellum",1,0.6329
"1990-07-09","WCC3","GENALG","Gentiana algida",7,4.4304
"1990-07-09","WCC3","CALLEP","Caltha leptosepala",37,23.4177
"1990-07-09","WCC3","RHOINT","Rhodiola integrifolia",3,1.8987
"1990-07-09","WCC3","BAREEE",NaN,17,10.7595
"1990-07-09","WCC3","BISVIV","Polygonum viviparum",5,3.1646
"1990-07-05","DCC4","ACOROS","Geum rossii var. turbinatum",5,3.3784
"1990-07-05","DCC4","AREFEN","Arenaria fendleri var. tweedyi",6,4.0541
"1990-07-05","DCC4","ARTSCO","Artemisia scopulorum",2,1.3514
"1990-07-05","DCC4","CARRUP","Carex rupestris var. drummondiana",18,12.1622
"1990-07-05","DCC4","CASOCC","Castilleja occidentalis",1,0.6757
"1990-07-05","DCC4","HYMACA","Tetraneuris acaulis var. caespitosa",3,2.027
"1990-07-05","DCC4","KOBMYO","Kobresia myosuroides",73,49.3243
"1990-07-05","DCC4","MINOBT","Minuartia obtusiloba",3,2.027
"1990-07-05","DCC4","OREALP","Oreoxis alpina ssp. alpina",11,7.4324
"1990-07-05","DCC4","BAREEE",NaN,24,16.2162
"1990-07-05","DCC4","SELDEN","Selaginella densa var. scopulorum",1,0.6757
"1990-07-05","DCC4","TRIDAS","Trifolium dasyphyllum",1,0.6757
"1990-07-09","WCC4","ARTSCO","Artemisia scopulorum",4,2.4242
"1990-07-09","WCC4","BISBIS","Polygonum bistortoides",19,11.5152
"1990-07-09","WCC4","CARSCO","Carex scopulorum var. scopulorum",30,18.1818
"1990-07-09","WCC4","CARESP","Carex",46,27.8788
"1990-07-09","WCC4","DESCAE","Deschampsia cespitosa",1,0.6061
"1990-07-09","WCC4","DODPUL","Dodecatheon pulchellum",1,0.6061
"1990-07-09","WCC4","GENALG","Gentiana algida",3,1.8182
"1990-07-09","WCC4","CALLEP","Caltha leptosepala",39,23.6364
"1990-07-09","WCC4","RHOINT","Rhodiola integrifolia",3,1.8182
"1990-07-09","WCC4","BAREEE",NaN,11,6.6667
"1990-07-09","WCC4","BISVIV","Polygonum viviparum",6,3.6364
"1990-07-09","WCC4","CLERHO","Rhodiola rhodantha",2,1.2121
"1990-07-05","DCC5","ALLGEY","Allium geyeri",5,3.268
"1990-07-05","DCC5","ACOROS","Geum rossii var. turbinatum",4,2.6144
"1990-07-05","DCC5","AREFEN","Arenaria fendleri var. tweedyi",4,2.6144
"1990-07-05","DCC5","ARTSCO","Artemisia scopulorum",1,0.6536
"1990-07-05","DCC5","BISBIS","Polygonum bistortoides",1,0.6536
"1990-07-05","DCC5","CALPUR","Calamagrostis purpurascens",1,0
"1990-07-05","DCC5","CAMROT","Campanula rotundifolia",5,3.268
"1990-07-05","DCC5","CARRUP","Carex rupestris var. drummondiana",26,16.9935
"1990-07-05","DCC5","CASOCC","Castilleja occidentalis",1,0
"1990-07-05","DCC5","ERIARE","Eritrichium nanum",1,0.6536
"1990-07-05","DCC5","ERIARE","Eritrichium nanum",1,0
"1990-07-05","DCC5","HYMACA","Tetraneuris acaulis var. caespitosa",9,5.8824
"1990-07-05","DCC5","KOBMYO","Kobresia myosuroides",61,39.8693
"1990-07-05","DCC5","MINOBT","Minuartia obtusiloba",4,2.6144
"1990-07-05","DCC5","OREALP","Oreoxis alpina ssp. alpina",6,3.9216
"1990-07-05","DCC5","PHLSIB","Phlox pulvinata",1,0
"1990-07-05","DCC5","SEDLAN","Sedum lanceolatum",1,0
"1990-07-05","DCC5","BAREEE",NaN,21,13.7255
"1990-07-05","DCC5","SELDEN","Selaginella densa var. scopulorum",4,2.6144
"1990-07-05","DCC5","SILACA","Silene acaulis var. subacaulescens",1,0.6536
"1990-07-05","DCC5","TRIDAS","Trifolium dasyphyllum",1,0
"1990-07-09","WCC5","ARTSCO","Artemisia scopulorum",3,2.0979
"1990-07-09","WCC5","BISBIS","Polygonum bistortoides",8,5.5944
"1990-07-09","WCC5","BISVIV","Polygonum viviparum",2,1.3986
"1990-07-09","WCC5","CARSCO","Carex scopulorum var. scopulorum",38,26.5734
"1990-07-09","WCC5","CARESP","Carex",45,31.4685
"1990-07-09","WCC5","CLERHO","Rhodiola rhodantha",1,0.6993
"1990-07-09","WCC5","DESCAE","Deschampsia cespitosa",2,1.3986
"1990-07-09","WCC5","DODPUL","Dodecatheon pulchellum",2,1.3986
"1990-07-09","WCC5","GENALG","Gentiana algida",2,1.3986
"1990-07-09","WCC5","POTDIV","Potentilla diversifolia",2,1.3986
"1990-07-09","WCC5","CALLEP","Caltha leptosepala",24,16.7832
"1990-07-09","WCC5","RHOINT","Rhodiola integrifolia",1,0.6993
"1990-07-09","WCC5","BAREEE",NaN,13,9.0909
"1990-07-05","DNN1","ALLGEY","Allium geyeri",4,2.9851
"1990-07-05","DNN1","ANTALP","Antennaria media",1,0.7463
"1990-07-05","DNN1","ACOROS","Geum rossii var. turbinatum",5,3.7313
"1990-07-05","DNN1","ARTSCO","Artemisia scopulorum",1,0.7463
"1990-07-05","DNN1","BISBIS","Polygonum bistortoides",1,0
"1990-07-05","DNN1","BISVIV","Polygonum viviparum",3,2.2388
"1990-07-05","DNN1","CAMROT","Campanula rotundifolia",2,1.4925
"1990-07-05","DNN1","CARRUP","Carex rupestris var. drummondiana",8,5.9701
"1990-07-05","DNN1","KOBMYO","Kobresia myosuroides",89,66.4179
"1990-07-05","DNN1","MINOBT","Minuartia obtusiloba",2,1.4925
"1990-07-05","DNN1","OREALP","Oreoxis alpina ssp. alpina",2,1.4925
"1990-07-05","DNN1","BAREEE",NaN,10,7.4627
"1990-07-05","DNN1","SELDEN","Selaginella densa var. scopulorum",2,1.4925
"1990-07-05","DNN1","TRIDAS","Trifolium dasyphyllum",4,2.9851
"1990-07-05","DNN1","UNKNOW","Unknown",1,0.7463
"1990-07-09","WNN1","BISBIS","Polygonum bistortoides",5,3.4247
"1990-07-09","WNN1","CARSCO","Carex scopulorum var. scopulorum",97,66.4384
"1990-07-09","WNN1","CLERHO","Rhodiola rhodantha",4,2.7397
"1990-07-09","WNN1","DODPUL","Dodecatheon pulchellum",2,1.3699
"1990-07-09","WNN1","GENALG","Gentiana algida",1,0.6849
"1990-07-09","WNN1","POTDIV","Potentilla diversifolia",1,0
"1990-07-09","WNN1","CALLEP","Caltha leptosepala",20,13.6986
"1990-07-09","WNN1","RHOINT","Rhodiola integrifolia",1,0.6849
"1990-07-09","WNN1","BAREEE",NaN,12,8.2192
"1990-07-09","WNN1","BISVIV","Polygonum viviparum",2,1.3699
"1990-07-09","WNN1","JUNTRI","Juncus triglumis",2,1.3699
"1990-07-05","DNN2","ALLGEY","Allium geyeri",4,3.0534
"1990-07-05","DNN2","ACOROS","Geum rossii var. turbinatum",3,2.2901
"1990-07-05","DNN2","AREFEN","Arenaria fendleri var. tweedyi",1,0
"1990-07-05","DNN2","ARTSCO","Artemisia scopulorum",1,0.7634
"1990-07-05","DNN2","BISBIS","Polygonum bistortoides",5,3.8168
"1990-07-05","DNN2","BISVIV","Polygonum viviparum",3,2.2901
"1990-07-05","DNN2","CARRUP","Carex rupestris var. drummondiana",22,16.7939
"1990-07-05","DNN2","CAREPA","Carex heteroneura var. epapillosa",1,0.7634
"1990-07-05","DNN2","HYMACA","Tetraneuris acaulis var. caespitosa",1,0
"1990-07-05","DNN2","HYMGRA","Tetraneuris grandiflora",1,0.7634
"1990-07-05","DNN2","KOBMYO","Kobresia myosuroides",50,38.1679
"1990-07-05","DNN2","MINOBT","Minuartia obtusiloba",2,1.5267
"1990-07-05","DNN2","OREALP","Oreoxis alpina ssp. alpina",14,10.687
"1990-07-05","DNN2","POTDIV","Potentilla diversifolia",1,0
"1990-07-05","DNN2","BAREEE",NaN,20,15.2672
"1990-07-05","DNN2","SILACA","Silene acaulis var. subacaulescens",1,0.7634
"1990-07-05","DNN2","TRIDAS","Trifolium dasyphyllum",1,0.7634
"1990-07-05","DNN2","CAMROT","Campanula rotundifolia",1,0.7634
"1990-07-05","DNN2","UNKNOW","Unknown",1,0.7634
"1990-07-05","DNN2","POAARC","Poa arctica ssp. grayana",1,0.7634
"1990-07-09","WNN2","ACOROS","Geum rossii var. turbinatum",6,3.4884
"1990-07-09","WNN2","ARTSCO","Artemisia scopulorum",8,4.6512
"1990-07-09","WNN2","BISBIS","Polygonum bistortoides",12,6.9767
"1990-07-09","WNN2","CARSCO","Carex scopulorum var. scopulorum",31,18.0233
"1990-07-09","WNN2","CARESP","Carex",43,25
"1990-07-09","WNN2","GENALG","Gentiana algida",9,5.2326
"1990-07-09","WNN2","CALLEP","Caltha leptosepala",39,22.6744
"1990-07-09","WNN2","RHOINT","Rhodiola integrifolia",1,0.5814
"1990-07-09","WNN2","BAREEE",NaN,13,7.5581
"1990-07-09","WNN2","BISVIV","Polygonum viviparum",10,5.814
"1990-07-05","DNN3","ALLGEY","Allium geyeri",6,4.1096
"1990-07-05","DNN3","ACOROS","Geum rossii var. turbinatum",6,4.1096
"1990-07-05","DNN3","AREFEN","Arenaria fendleri var. tweedyi",1,0.6849
"1990-07-05","DNN3","ARTSCO","Artemisia scopulorum",1,0
"1990-07-05","DNN3","BISBIS","Polygonum bistortoides",7,4.7945
"1990-07-05","DNN3","BISVIV","Polygonum viviparum",2,1.3699
"1990-07-05","DNN3","CAMROT","Campanula rotundifolia",2,1.3699
"1990-07-05","DNN3","CARRUP","Carex rupestris var. drummondiana",32,21.9178
"1990-07-05","DNN3","HYMACA","Tetraneuris acaulis var. caespitosa",1,0.6849
"1990-07-05","DNN3","KOBMYO","Kobresia myosuroides",58,39.726
"1990-07-05","DNN3","OREALP","Oreoxis alpina ssp. alpina",5,3.4247
"1990-07-05","DNN3","POTDIV","Potentilla diversifolia",1,0
"1990-07-05","DNN3","BAREEE",NaN,25,17.1233
"1990-07-05","DNN3","CAREPA","Carex heteroneura var. epapillosa",1,0.6849
"1990-07-09","WNN3","ACOROS","Geum rossii var. turbinatum",5,2.9762
"1990-07-09","WNN3","ARTSCO","Artemisia scopulorum",7,4.1667
"1990-07-09","WNN3","BISBIS","Polygonum bistortoides",15,8.9286
"1990-07-09","WNN3","CARSCO","Carex scopulorum var. scopulorum",47,27.9762
"1990-07-09","WNN3","CARESP","Carex",27,16.0714
"1990-07-09","WNN3","DESCAE","Deschampsia cespitosa",1,0.5952
"1990-07-09","WNN3","DODPUL","Dodecatheon pulchellum",4,2.381
"1990-07-09","WNN3","GENALG","Gentiana algida",5,2.9762
"1990-07-09","WNN3","CALLEP","Caltha leptosepala",43,25.5952
"1990-07-09","WNN3","BAREEE",NaN,12,7.1429
"1990-07-09","WNN3","BISVIV","Polygonum viviparum",2,1.1905
"1990-07-09","WNN3","CLERHO","Rhodiola rhodantha",1,0
"1990-07-05","DNN4","ACOROS","Geum rossii var. turbinatum",2,1.6667
"1990-07-05","DNN4","AREFEN","Arenaria fendleri var. tweedyi",2,1.6667
"1990-07-05","DNN4","ALLGEY","Allium geyeri",2,1.6667
"1990-07-05","DNN4","CALPUR","Calamagrostis purpurascens",1,0.8333
"1990-07-05","DNN4","CAMROT","Campanula rotundifolia",1,0.8333
"1990-07-05","DNN4","CARRUP","Carex rupestris var. drummondiana",15,12.5
"1990-07-05","DNN4","CASOCC","Castilleja occidentalis",1,0
"1990-07-05","DNN4","DESCAE","Deschampsia cespitosa",1,0
"1990-07-05","DNN4","HYMACA","Tetraneuris acaulis var. caespitosa",3,2.5
"1990-07-05","DNN4","KOBMYO","Kobresia myosuroides",51,42.5
"1990-07-05","DNN4","MINOBT","Minuartia obtusiloba",6,5
"1990-07-05","DNN4","OREALP","Oreoxis alpina ssp. alpina",6,5
"1990-07-05","DNN4","PHLSIB","Phlox pulvinata",1,0.8333
"1990-07-05","DNN4","SAXRHO","Saxifraga rhomboidea",1,0.8333
"1990-07-05","DNN4","BAREEE",NaN,26,21.6667
"1990-07-05","DNN4","SEDLAN","Sedum lanceolatum",1,0.8333
"1990-07-05","DNN4","SILACA","Silene acaulis var. subacaulescens",1,0
"1990-07-05","DNN4","TRIDAS","Trifolium dasyphyllum",2,1.6667
"1990-07-09","WNN4","ARTSCO","Artemisia scopulorum",2,1.3158
"1990-07-09","WNN4","BISBIS","Polygonum bistortoides",10,6.5789
"1990-07-09","WNN4","BISVIV","Polygonum viviparum",4,2.6316
"1990-07-09","WNN4","CARSCO","Carex scopulorum var. scopulorum",45,29.6053
"1990-07-09","WNN4","CARESP","Carex",45,29.6053
"1990-07-09","WNN4","DESCAE","Deschampsia cespitosa",3,1.9737
"1990-07-09","WNN4","GENALG","Gentiana algida",6,3.9474
"1990-07-09","WNN4","CALLEP","Caltha leptosepala",26,17.1053
"1990-07-09","WNN4","RHOINT","Rhodiola integrifolia",1,0.6579
"1990-07-09","WNN4","BAREEE",NaN,10,6.5789
"1990-07-05","DNN5","ANTALP","Antennaria media",2,1.4388
"1990-07-05","DNN5","AREFEN","Arenaria fendleri var. tweedyi",1,0
"1990-07-05","DNN5","BISBIS","Polygonum bistortoides",3,2.1583
"1990-07-05","DNN5","CALPUR","Calamagrostis purpurascens",1,0.7194
"1990-07-05","DNN5","CAMROT","Campanula rotundifolia",1,0.7194
"1990-07-05","DNN5","CARRUP","Carex rupestris var. drummondiana",15,10.7914
"1990-07-05","DNN5","CASOCC","Castilleja occidentalis",1,0
"1990-07-05","DNN5","HYMACA","Tetraneuris acaulis var. caespitosa",6,4.3165
"1990-07-05","DNN5","KOBMYO","Kobresia myosuroides",68,48.9209
"1990-07-05","DNN5","OREALP","Oreoxis alpina ssp. alpina",6,4.3165
"1990-07-05","DNN5","PHLSIB","Phlox pulvinata",1,0.7194
"1990-07-05","DNN5","BAREEE",NaN,28,20.1439
"1990-07-05","DNN5","ALLGEY","Allium geyeri",3,2.1583
"1990-07-05","DNN5","SELDEN","Selaginella densa var. scopulorum",3,2.1583
"1990-07-05","DNN5","TRIDAS","Trifolium dasyphyllum",1,0.7194
"1990-07-05","DNN5","POAARC","Poa arctica ssp. grayana",1,0.7194
"1990-07-09","WNN5","ACOROS","Geum rossii var. turbinatum",1,0.6944
"1990-07-09","WNN5","ARTSCO","Artemisia scopulorum",5,3.4722
"1990-07-09","WNN5","BISBIS","Polygonum bistortoides",4,2.7778
"1990-07-09","WNN5","BISVIV","Polygonum viviparum",3,2.0833
"1990-07-09","WNN5","CARSCO","Carex scopulorum var. scopulorum",69,47.9167
"1990-07-09","WNN5","CARESP","Carex",1,0.6944
"1990-07-09","WNN5","CLERHO","Rhodiola rhodantha",1,0.6944
"1990-07-09","WNN5","DESCAE","Deschampsia cespitosa",3,2.0833
"1990-07-09","WNN5","DODPUL","Dodecatheon pulchellum",2,1.3889
"1990-07-09","WNN5","GENALG","Gentiana algida",4,2.7778
"1990-07-09","WNN5","POTDIV","Potentilla diversifolia",1,0
"1990-07-09","WNN5","CALLEP","Caltha leptosepala",27,18.75
"1990-07-09","WNN5","RHOINT","Rhodiola integrifolia",2,1.3889
"1990-07-09","WNN5","BAREEE",NaN,16,11.1111
"1990-07-09","WNN5","KOBMYO","Kobresia myosuroides",5,3.4722
"1990-07-09","WNN5","CAMROT","Campanula rotundifolia",1,0.6944
"1990-07-03","DNP1","ACOROS","Geum rossii var. turbinatum",8,5.7143
"1990-07-03","DNP1","AREFEN","Arenaria fendleri var. tweedyi",1,0
"1990-07-03","DNP1","ARTSCO","Artemisia scopulorum",2,1.4286
"1990-07-03","DNP1","BISBIS","Polygonum bistortoides",1,0.7143
"1990-07-03","DNP1","BISVIV","Polygonum viviparum",2,1.4286
"1990-07-03","DNP1","CALPUR","Calamagrostis purpurascens",3,2.1429
"1990-07-03","DNP1","CARRUP","Carex rupestris var. drummondiana",5,3.5714
"1990-07-03","DNP1","CAREPA","Carex heteroneura var. epapillosa",3,2.1429
"1990-07-03","DNP1","HYMACA","Tetraneuris acaulis var. caespitosa",1,0
"1990-07-03","DNP1","KOBMYO","Kobresia myosuroides",82,58.5714
"1990-07-03","DNP1","LEWPYG","Lewisia pygmaea",1,0.7143
"1990-07-03","DNP1","MINOBT","Minuartia obtusiloba",1,0.7143
"1990-07-03","DNP1","OREALP","Oreoxis alpina ssp. alpina",1,0
"1990-07-03","DNP1","SAXRHO","Saxifraga rhomboidea",1,0.7143
"1990-07-03","DNP1","TRIDAS","Trifolium dasyphyllum",1,0.7143
"1990-07-03","DNP1","BAREEE",NaN,29,20.7143
"1990-07-03","DNP1","UNKNOW","Unknown",1,0.7143
"1990-07-03","DNP1","MERLAN","Mertensia lanceolata",1,0
"1990-07-03","DNP1","SEDLAN","Sedum lanceolatum",1,0
"1990-07-09","WNP1","BISBIS","Polygonum bistortoides",4,3.1496
"1990-07-09","WNP1","BISVIV","Polygonum viviparum",1,0.7874
"1990-07-09","WNP1","CARSCO","Carex scopulorum var. scopulorum",94,74.0157
"1990-07-09","WNP1","KOBMYO","Kobresia myosuroides",2,1.5748
"1990-07-09","WNP1","CLERHO","Rhodiola rhodantha",1,0
"1990-07-09","WNP1","GENALG","Gentiana algida",1,0.7874
"1990-07-09","WNP1","CALLEP","Caltha leptosepala",18,14.1732
"1990-07-09","WNP1","BAREEE",NaN,7,5.5118
"1990-07-05","DNP2","ACOROS","Geum rossii var. turbinatum",5,3.3333
"1990-07-05","DNP2","ALLGEY","Allium geyeri",5,3.3333
"1990-07-05","DNP2","AREFEN","Arenaria fendleri var. tweedyi",10,6.6667
"1990-07-05","DNP2","BISBIS","Polygonum bistortoides",3,2
"1990-07-05","DNP2","BISVIV","Polygonum viviparum",2,1.3333
"1990-07-05","DNP2","CAMROT","Campanula rotundifolia",2,1.3333
"1990-07-05","DNP2","CARRUP","Carex rupestris var. drummondiana",12,8
"1990-07-05","DNP2","HYMACA","Tetraneuris acaulis var. caespitosa",1,0
"1990-07-05","DNP2","KOBMYO","Kobresia myosuroides",60,40
"1990-07-05","DNP2","MINOBT","Minuartia obtusiloba",2,1.3333
"1990-07-05","DNP2","OREALP","Oreoxis alpina ssp. alpina",10,6.6667
"1990-07-05","DNP2","SAXRHO","Saxifraga rhomboidea",1,0
"1990-07-05","DNP2","BAREEE",NaN,22,14.6667
"1990-07-05","DNP2","SEDLAN","Sedum lanceolatum",1,0.6667
"1990-07-05","DNP2","SELDEN","Selaginella densa var. scopulorum",3,2
"1990-07-05","DNP2","TRIDAS","Trifolium dasyphyllum",10,6.6667
"1990-07-05","DNP2","MERLAN","Mertensia lanceolata",1,0.6667
"1990-07-05","DNP2","POAARC","Poa arctica ssp. grayana",1,0.6667
"1990-07-05","DNP2","SAXRHO","Saxifraga rhomboidea",1,0.6667
"1990-07-09","WNP2","BISBIS","Polygonum bistortoides",8,5.6338
"1990-07-09","WNP2","BISVIV","Polygonum viviparum",2,1.4085
"1990-07-09","WNP2","CARSCO","Carex scopulorum var. scopulorum",84,59.1549
"1990-07-09","WNP2","CARESP","Carex",10,7.0423
"1990-07-09","WNP2","CLERHO","Rhodiola rhodantha",6,4.2254
"1990-07-09","WNP2","DODPUL","Dodecatheon pulchellum",4,2.8169
"1990-07-09","WNP2","GENALG","Gentiana algida",1,0.7042
"1990-07-09","WNP2","KOBMYO","Kobresia myosuroides",1,0
"1990-07-09","WNP2","PEDGRO","Pedicularis groenlandica",1,0
"1990-07-09","WNP2","CALLEP","Caltha leptosepala",13,9.1549
"1990-07-09","WNP2","RHOINT","Rhodiola integrifolia",1,0
"1990-07-09","WNP2","SALGLA","Salix glauca",1,0.7042
"1990-07-09","WNP2","SALPLA","Salix planifolia",2,1.4085
"1990-07-09","WNP2","BAREEE",NaN,9,6.338
"1990-07-09","WNP2","CAMROT","Campanula rotundifolia",2,1.4085
"1990-07-05","DNP3","ALLGEY","Allium geyeri",5,3.3784
"1990-07-05","DNP3","ACOROS","Geum rossii var. turbinatum",4,2.7027
"1990-07-05","DNP3","AREFEN","Arenaria fendleri var. tweedyi",1,0
"1990-07-05","DNP3","ANTALP","Antennaria media",1,0
"1990-07-05","DNP3","BISBIS","Polygonum bistortoides",2,1.3514
"1990-07-05","DNP3","BISVIV","Polygonum viviparum",1,0.6757
"1990-07-05","DNP3","CALPUR","Calamagrostis purpurascens",1,0.6757
"1990-07-05","DNP3","CAMROT","Campanula rotundifolia",1,0.6757
"1990-07-05","DNP3","CARRUP","Carex rupestris var. drummondiana",46,31.0811
"1990-07-05","DNP3","KOBMYO","Kobresia myosuroides",65,43.9189
"1990-07-05","DNP3","OREALP","Oreoxis alpina ssp. alpina",3,2.027
"1990-07-05","DNP3","POTDIV","Potentilla diversifolia",1,0
"1990-07-05","DNP3","BAREEE",NaN,18,12.1622
"1990-07-05","DNP3","UNKNOW","Unknown",2,1.3514
"1990-07-09","WNP3","ACOROS","Geum rossii var. turbinatum",2,1.25
"1990-07-09","WNP3","ARTSCO","Artemisia scopulorum",3,1.875
"1990-07-09","WNP3","BISBIS","Polygonum bistortoides",5,3.125
"1990-07-09","WNP3","CARSCO","Carex scopulorum var. scopulorum",42,26.25
"1990-07-09","WNP3","CARESP","Carex",41,25.625
"1990-07-09","WNP3","DESCAE","Deschampsia cespitosa",2,1.25
"1990-07-09","WNP3","DODPUL","Dodecatheon pulchellum",3,1.875
"1990-07-09","WNP3","GENALG","Gentiana algida",15,9.375
"1990-07-09","WNP3","POTDIV","Potentilla diversifolia",1,0.625
"1990-07-09","WNP3","CALLEP","Caltha leptosepala",19,11.875
"1990-07-09","WNP3","RHOINT","Rhodiola integrifolia",1,0.625
"1990-07-09","WNP3","BAREEE",NaN,16,10
"1990-07-09","WNP3","BISVIV","Polygonum viviparum",5,3.125
"1990-07-09","WNP3","JUNTRI","Juncus triglumis",2,1.25
"1990-07-09","WNP3","KOBMYO","Kobresia myosuroides",1,0.625
"1990-07-09","WNP3","CLERHO","Rhodiola rhodantha",2,1.25
"1990-07-05","DNP4","ACOROS","Geum rossii var. turbinatum",3,2.3438
"1990-07-05","DNP4","ALLGEY","Allium geyeri",2,1.5625
"1990-07-05","DNP4","AREFEN","Arenaria fendleri var. tweedyi",4,3.125
"1990-07-05","DNP4","CALPUR","Calamagrostis purpurascens",2,1.5625
"1990-07-05","DNP4","CAMROT","Campanula rotundifolia",1,0
"1990-07-05","DNP4","CARRUP","Carex rupestris var. drummondiana",5,3.9062
